IJK,IX,IY,IZ,XC,YC,ZC,__in,Au_OK,Au_ID2,Au_NN,Au_Lagrange,Au_KVar
13542,6,16,9,32.5,82.5,47.5,0.5,0.8806887,0.9990847,0.33116302,0.042134162,0.23396748
13543,7,16,9,37.5,82.5,47.5,0.75,1.0302639,1.0694557,0.6582347,0.050310653,0.21473233
13544,8,16,9,42.5,82.5,47.5,1.0,1.1200646,1.1075974,1.03936,0.04661043,0.20400394
13545,9,16,9,47.5,82.5,47.5,1.0,1.1076531,1.0154665,1.129743,0.040169228,0.19968325
13546,10,16,9,52.5,82.5,47.5,1.0,0.87737805,0.8402459,0.7014986,0.039302833,0.20025021
13547,11,16,9,57.5,82.5,47.5,1.0,0.6269352,0.61333627,0.6192879,0.045508493,0.20565565
13548,12,16,9,62.5,82.5,47.5,1.0,0.5904214,0.5704552,0.5120143,0.04813346,0.21538559
13549,13,16,9,67.5,82.5,47.5,0.75,0.52808225,0.5318887,0.46889418,0.04219761,0.2352334
13550,14,16,9,72.5,82.5,47.5,0.5,0.4749194,0.5399647,0.34793878,0.04408038,0.26629278
13551,15,16,9,77.5,82.5,47.5,0.5,0.4865454,0.53727746,0.34528145,0.044658188,0.3013253
13552,16,16,9,82.5,82.5,47.5,0.375,0.4469286,0.50490016,0.4157376,0.04204412,0.3303142
13553,17,16,9,87.5,82.5,47.5,0.125,0.39687097,0.5053674,0.6335731,0.026537232,0.36159945
13575,3,17,9,17.5,87.5,47.5,0.125,0.47213686,0.75799936,0.11194896,-0.06544996,0.40022317
13576,4,17,9,22.5,87.5,47.5,0.375,0.5194449,0.77332205,0.66949016,-0.01565099,0.31190532
13577,5,17,9,27.5,87.5,47.5,0.5,0.62091213,0.8214578,0.33116302,0.013650235,0.251119
13578,6,17,9,32.5,87.5,47.5,0.5,0.808025,0.9434564,0.33116302,0.035403658,0.21078798
13579,7,17,9,37.5,87.5,47.5,0.75,0.9924666,0.95693797,0.6582347,0.03478118,0.18023634
13580,8,17,9,42.5,87.5,47.5,1.0,1.1305131,0.99376625,1.03936,0.034150902,0.16298234
13581,9,17,9,47.5,87.5,47.5,1.0,1.0889609,1.0004662,1.129743,0.028023705,0.15553263
13582,10,17,9,52.5,87.5,47.5,1.0,0.84595233,0.83161956,0.7014986,0.029461248,0.15753126
13583,11,17,9,57.5,87.5,47.5,1.0,0.6067989,0.6375909,0.6192879,0.032321278,0.16829605
13584,12,17,9,62.5,87.5,47.5,0.875,0.5840349,0.56338763,0.5120143,0.043656237,0.18529925
13585,13,17,9,67.5,87.5,47.5,0.625,0.53359944,0.5389614,0.46889418,0.034852054,0.21298268
13586,14,17,9,72.5,87.5,47.5,0.5,0.4823906,0.5643372,0.34793878,0.03766263,0.25482714
13587,15,17,9,77.5,87.5,47.5,0.375,0.49698687,0.56215477,0.34793878,0.038675614,0.3009461
13588,16,17,9,82.5,87.5,47.5,0.125,0.46328652,0.51313186,0.7202005,0.03654072,0.33691368
13612,4,18,9,22.5,92.5,47.5,0.25,0.50518715,0.7411701,0.66949016,-0.023005027,0.30696607
13613,5,18,9,27.5,92.5,47.5,0.5,0.61574495,0.76151866,0.33116302,0.0018093417,0.23565961
13614,6,18,9,32.5,92.5,47.5,0.5,0.7914325,0.84171784,0.33116302,0.016541269,0.18294872
13615,7,18,9,37.5,92.5,47.5,0.625,0.9453795,0.87525886,0.6582347,0.022395583,0.14079475
13616,8,18,9,42.5,92.5,47.5,0.875,1.0871688,0.98098606,1.03936,0.023590213,0.11004355
13617,9,18,9,47.5,92.5,47.5,1.0,1.052697,1.0079945,1.129743,0.020390473,0.092708424
13618,10,18,9,52.5,92.5,47.5,1.0,0.8306196,0.84270996,0.7014986,0.021669505,0.10120704
13619,11,18,9,57.5,92.5,47.5,1.0,0.57903206,0.6595145,0.6192879,0.02194092,0.12441091
13620,12,18,9,62.5,92.5,47.5,0.75,0.48713434,0.5993436,0.5120143,0.02172184,0.14903145
13621,13,18,9,67.5,92.5,47.5,0.5,0.5384568,0.54424953,0.46889418,0.023659455,0.1871468
13622,14,18,9,72.5,92.5,47.5,0.5,0.5051888,0.58965635,0.34793878,0.028924294,0.23849809
13623,15,18,9,77.5,92.5,47.5,0.25,0.4999069,0.6091323,0.34793878,0.02814261,0.2960433
13648,4,19,9,22.5,97.5,47.5,0.125,0.5234798,0.7224663,0.66949016,-0.036516383,0.30786788
