BHID,DIP,AT,AZ
17946,45,74.98,2.31
17947,47,0,2.31
17947,47,30.48,2.31
17947,47,60.96,2.31
17947,47,74.98,2.31
17948,50,0,2.31
17948,50,30.48,2.31
17948,50,41.75,2.31
17949,52,0,2.31
17949,50,35.96,2.31
17950,45,0,2.31
17950,45,900,2.31
17951,72,0,182.31
17951,72,30.48,182.31
17951,70,53.34,182.31
17952,88,0,182.31
17952,88,900,182.31
17953,47,0,2.31
17953,47,30.48,2.31
17953,47,60.96,2.31
17953,46,74.67,2.31
17954,47,0,2.31
17954,45,30.48,2.31
17954,44,60.96,2.31
17954,43,74.98,2.31
17955,84,0,182.31
17955,83,30.48,182.31
17955,83,50.9,182.31
17956,84,0,182.31
17956,84,900,182.31
17957,40,0,2.31
17957,40,30.48,2.31
17957,40,60.96,2.31
17957,39,83.51,2.31
17958,46,0,5.31
17958,46,30.48,5.31
17958,46,60.96,5.31
17958,47,76.2,5.31
17959,45,0,2.31
17959,47,30.48,2.31
17959,47,60.96,2.31
17959,47,71.93,2.31
17964,85,0,182.31
17964,84,30.48,182.31
17964,83,50.9,182.31
17965,84,0,182.31
17965,84,30.48,182.31
17965,83,50.29,182.31
17974,90,0,2.31
17974,90,30.48,2.31
17974,90,53.94,2.31
17975,90,0,2.31
17975,90,30.48,2.31
17975,90,59.74,2.31
17976,90,0,2.31
17976,90,900,2.31
17977,90,0,2.31
17977,90,900,2.31
17978,90,0,2.31
17978,90,30.48,2.31
17978,90,59.74,2.31
17979,90,0,2.31
17979,90,30.48,2.31
17979,90,59.74,2.31
17980,90,0,2.31
17980,90,900,2.31
17981,90,0,2.31
17981,90,900,2.31
17982,90,0,2.31
17982,90,900,2.31
17983,90,0,2.31
17983,90,900,2.31
17984,90,0,2.31
17984,90,900,2.31
17985,90,0,2.31
17985,90,900,2.31
17986,90,0,2.31
