BHID,XCOLLAR,YCOLLAR,ZCOLLAR,AZ_UTM,DIP,LENGTH
18120,294389.58,5331088.78,315.51,2.31,-45,35.99
18121,294389.13,5331059.39,315.03,2.31,-45,50.99
18122,294381.1,5331088.06,315.17,2.31,-45,44.98
18123,294383.03,5331146.09,314.65,182.31,-45,48
18124,294369.24,5331133.44,314.58,182.31,-56,33
18125,294367.04,5331090.3,315.87,2.31,-45,33
18126,294364.92,5331037.92,315.56,2.31,-45,42
18127,294478.71,5331136.12,313.12,182.31,-55,56.38
18128,294364.13,5331018.12,315.78,182.31,-45,90
18129,294292.21,5331164.19,308.45,182.31,-52,54.01
18130,294292.03,5331155.9,310.47,2.31,-45,56.69
18131,294290.96,5331127.68,314.93,182.31,-45,44.98
18132,294289.78,5331103.19,314.65,182.31,-62,48
18133,294286.69,5331048.07,319.01,182.31,-45,92.99
18134,294287.84,5331033.47,318.63,2.31,-45,63
18135,294230.9,5331157.58,309.35,2.31,-45,63.09
18136,294146.59,5331127.47,311.56,2.31,-45,63.7
18137,294146.59,5331127.47,311.56,2.31,-70,60.01
18138,294146.64,5331060.17,321.07,2.31,-45,98.14
18139,294147.78,5331082.41,321.12,182.31,-45,96.01
18160,294596.6,5331340.03,311.81,2.31,-45,92.5
18161,294596.82,5331386.97,308.39,2.31,-45,92.65
18162,294600.33,5331426.18,308.28,2.31,-45,92.65
18163,294372.38,5331274.34,314.65,2.31,-45,62.51
18164,294373.48,5331300.74,309.76,2.31,-45,92.5
18165,294375.56,5331346.75,308.97,2.31,-45,92.5
18166,294377.18,5331391.43,308.34,2.31,-45,93.57
18167,294152.78,5331240.55,309.06,2.31,-45,94.48
18168,294155.13,5331285.84,308.28,2.31,-45,92.5
18169,294157.24,5331332.52,308.09,2.31,-45,92.5
18170,294158.07,5331378.03,308.02,2.31,-45,92.65
18171,294651.84,5331355.16,311.52,2.31,-45,92.04
18172,294650.05,5331307.85,311.91,2.31,-45,92.5
18173,294808.51,5331306.81,312.24,2.31,-45,91.98
18176,294151.33,5331210.62,309.09,2.31,-45,85.49
18177,294671.31,5331224.94,314.85,182.31,-70,75.01
18178,294686.82,5331224.49,315.19,182.31,-70,60.01
18179,294685.5,5331209.75,315.44,2.31,-70,48
18180,294714.21,5331226.65,316.63,182.31,-75,60.01
18181,294713.4,5331205.79,315.8,2.31,-65,84
18183,294868.18,5331434.87,313.35,2.31,-45,98.14
18185,294700.44,5331221.87,315.87,182.31,-70,71.99
18186,294730.42,5331272.24,311.96,182.31,-60,113.99
18187,294751.31,5331227.4,313.12,182.31,-70,71.99
18188,294756.2,5331205.88,316.25,2.31,-65,48.03
18189,294780.41,5331225.89,313.97,182.31,-65,61.99
18190,294785.51,5331195.24,315.06,2.31,-65,63
18191,294807.16,5331220.66,314.01,182.31,-70,80.98
18192,294806.28,5331193.49,316.14,2.31,-65,56.99
18193,294809.65,5331169.71,316.71,182.31,-75,56.99
18194,294835.1,5331206.11,316.12,182.31,-70,77.72
18195,294831.38,5331189.54,316.21,2.31,-70,46.51
18196,294861.08,5331189.47,316.47,2.31,-45,80.01
18197,294862.33,5331153.97,316.35,2.31,-45,82.96
18198,294886.84,5331158.04,316.47,2.31,-45,61.99
18199,294883.74,5331081.3,316.78,2.31,-45,92.99
18200,294881.93,5331101.63,316.91,2.31,-45,38
18201,294925.09,5331206.16,319.82,2.31,-45,76.99
18202,294924.25,5331170.32,317.06,2.31,-45,76.99
18203,294961.59,5331189.19,318.64,2.31,-45,90.52
18204,294968.83,5331140.39,318.15,2.31,-45,91.98
18205,294957.67,5331098.47,318.26,2.31,-45,95
18206,294955.86,5331048.36,319.46,2.31,-45,97.04
18207,294953.93,5331006.77,318.54,2.31,-45,91.98
18208,294997.18,5331174.75,319.04,2.31,-45,91.98
18209,294996.1,5331145.63,318.72,2.31,-45,91.98
18210,295089.01,5331195.29,326.34,2.31,-45,91.98
18211,295088.1,5331153.23,325.18,2.31,-45,91.98
18212,295103.6,5331083.08,324.85,2.31,-45,91.98
18213,295103.6,5331083.08,324.85,182.31,-45,61.99
18214,294349.58,5331090.71,315.82,2.31,-64,69
18215,294350.51,5331133.98,311.9,182.31,-45,86.98
18216,294345.28,5331004.86,317.69,2.31,-45,90
18217,294352.47,5331178.05,312.12,182.31,-45,98.75
18218,294331.78,5331153.69,311.79,182.31,-56,42
18219,294327.69,5331082.71,316.28,2.31,-45,44.98
18220,294314.78,5331140.62,313.22,182.31,-51,71.99
18221,294310.5,5331079.41,316.82,2.31,-45,48
18222,294311.47,5331007.66,318.46,2.31,-45,75.01
18223,294272,5331130.57,313.29,182.31,-45,48
18224,294269.9,5331091.43,316.08,2.31,-45,48
18225,294253.87,5331120.51,314.04,182.31,-45,71.99
18226,294253.71,5331029.03,320.42,2.31,-45,60.01
18227,294236.37,5331020.46,320.51,2.31,-45,92.65
18228,294236.12,5331111.55,314,182.31,-45,75.01
18229,294218.59,5331129.83,312.18,182.31,-45,54.01
18230,294200.37,5331160.53,309.59,182.31,-65,54.01
18231,294199.63,5331131.76,311.02,182.31,-65,35.99
18232,294199.42,5331131.77,311.02,182.31,-45,69
18233,294181.47,5331138.35,311.29,182.31,-45,33.22
18234,294179.44,5331088.22,321.03,2.31,-45,42
18243,294992.12,5331062.42,326.32,2.31,-45,76.99
18244,294995.01,5331097.78,326.46,2.31,-45,63.48
18245,294990.77,5331027.58,321.03,2.31,-45,74
18246,295029.11,5331061.35,326.27,2.31,-45,94.91
18247,295030.55,5331088.78,326.06,2.31,-45,49.98
18248,295029.11,5331061.35,326.27,182.31,-45,55.99
18249,294599.09,5331035.98,315.72,2.31,-70,15.54
18250,295068.92,5331128.5,325.32,182.31,-45,61.99
18251,294990.77,5331027.58,321.03,182.31,-45,49.98
18252,295103.44,5331121.4,324.81,2.31,-45,91.98
18255,294380,5331064.49,315.77,2.31,-45,75.01
18256,294625.51,5331032.26,315.26,182.31,-45,35.99
