,BHID,FROM,TO,LITHO_DESC
48386,18125,15.94,18.04,Shear Zone
48387,18125,18.04,26.02,Intermediate to Ultramafic Volcanics
48388,18125,26.02,30.17,Early Diorite
48389,18125,30.17,33.0,Intermediate to Ultramafic Volcanics
48390,18126,0.0,6.4,Casing
48391,18126,6.4,11.24,Felsic to Intermediate Dykes
48392,18126,11.24,23.91,Intermediate to Ultramafic Volcanics
48393,18126,23.91,40.2,Diorite
48394,18126,40.2,42.0,Intermediate to Ultramafic Volcanics
48395,18127,0.0,7.92,Casing
48396,18127,7.92,20.42,Intermediate to Ultramafic Volcanics
48397,18127,20.42,31.28,Diorite
48398,18127,31.28,47.94,Intermediate to Ultramafic Volcanics
48399,18127,47.94,48.92,Shear Zone
48400,18127,48.92,54.49,Diorite
48401,18127,54.49,56.38,Early Diorite
48402,18128,0.0,12.8,Casing
48403,18128,12.8,26.51,Intermediate to Ultramafic Volcanics
48404,18128,26.51,53.26,Diorite
48405,18128,53.26,56.26,Intermediate to Ultramafic Volcanics
48406,18128,56.26,66.78,Diorite
48407,18128,66.78,68.97,Intermediate to Ultramafic Volcanics
48408,18128,68.97,80.74,Diorite
48409,18128,80.74,84.79,Granodiorite
48410,18128,84.79,90.0,Diorite
48411,18129,0.0,8.36,Casing
48412,18129,8.36,10.95,Intermediate to Ultramafic Volcanics
48413,18129,10.95,11.47,Early Diorite
48414,18129,11.47,12.19,Intermediate to Ultramafic Volcanics
48415,18129,12.19,15.16,Early Diorite
48416,18129,15.16,16.8,Diorite
48417,18129,16.8,21.16,Early Diorite
48418,18129,21.16,30.46,Intermediate to Ultramafic Volcanics
48419,18129,30.46,32.17,Early Diorite
48420,18129,32.17,33.22,Diorite
48421,18129,33.22,37.24,Early Diorite
48422,18129,37.24,40.06,Intermediate to Ultramafic Volcanics
48423,18129,40.06,40.52,Shear Zone
48424,18129,40.52,54.01,Diorite
48431,18130,0.0,9.34,Casing
48432,18130,9.34,15.31,Intermediate to Ultramafic Volcanics
48433,18130,15.31,19.08,Felsic to Intermediate Dykes
48434,18130,19.08,27.63,Intermediate to Ultramafic Volcanics
48435,18130,27.63,28.65,Diorite
48436,18130,28.65,29.8,Intermediate to Ultramafic Volcanics
48437,18130,29.8,31.04,Felsic to Intermediate Dykes
48438,18130,31.04,41.42,Intermediate to Ultramafic Volcanics
48439,18130,41.42,46.02,Felsic to Intermediate Dykes
48440,18130,46.02,56.69,Intermediate to Ultramafic Volcanics
48441,18131,0.0,14.99,Casing
48442,18131,14.99,23.71,Intermediate to Ultramafic Volcanics
48443,18131,23.71,44.98,Intermediate to Ultramafic Volcanics
48444,18132,0.0,10.39,Casing
48445,18132,10.39,12.61,Intermediate to Ultramafic Volcanics
48446,18132,12.61,21.35,Early Diorite
48447,18132,21.35,48.0,Intermediate to Ultramafic Volcanics
48448,18133,0.0,14.11,Casing
48449,18133,14.11,54.48,Intermediate to Ultramafic Volcanics
48450,18133,54.48,69.44,Early Diorite
48451,18133,69.44,86.59,Intermediate to Ultramafic Volcanics
48452,18133,86.59,92.99,Intermediate to Ultramafic Volcanics
48453,18134,0.0,15.08,Casing
48454,18134,15.08,41.45,Intermediate to Ultramafic Volcanics
48455,18134,41.45,42.18,Felsic to Intermediate Dykes
48456,18134,42.18,42.85,Intermediate to Ultramafic Volcanics
48457,18134,42.85,43.4,Diorite
48458,18134,43.4,50.58,Shear Zone
48459,18134,50.58,51.99,Diorite
48460,18134,51.99,63.0,Intermediate to Ultramafic Volcanics
48461,18135,0.0,7.89,Casing
48462,18135,7.89,17.46,Intermediate to Ultramafic Volcanics
48463,18135,17.46,25.7,Felsic to Intermediate Dykes
48464,18135,25.7,27.0,Intermediate to Ultramafic Volcanics
48465,18135,27.0,28.37,Felsic to Intermediate Dykes
48466,18135,28.37,39.31,Intermediate to Ultramafic Volcanics
48467,18135,39.31,44.04,Felsic to Intermediate Dykes
48468,18135,44.04,49.43,Intermediate to Ultramafic Volcanics
48469,18135,49.43,50.39,Early Diorite
48470,18135,50.39,58.06,Intermediate to Ultramafic Volcanics
