,BHID,XCOLLAR,YCOLLAR,ZCOLLAR,AZ_UTM,DIP,LENGTH_M,NO_DATA,DOUBTFUL_C
10017,18751,294026.27,5331148.41,311.05,182.31,-60.0,61.11,,
10018,18752,294026.27,5331148.41,311.05,182.31,-70.0,98.99,,
10019,18753,293998.97,5331155.19,311.08,182.31,-50.0,80.01,,
10020,18754,293998.97,5331155.19,311.08,182.31,-70.0,97.53,,
10021,18755,293971.64,5331161.15,311.54,182.31,-55.0,80.98,,
10022,18756,293971.64,5331161.15,311.54,182.31,-70.0,105.0,,
10023,18757,294134.08,5331169.52,309.07,277.31,-55.0,63.39,,
10024,18758,294130.7,5331134.37,310.14,182.31,-50.0,63.0,,
10025,18759,294130.7,5331134.37,310.14,182.31,-70.0,105.0,,
10027,18760,294157.67,5331135.26,310.68,182.31,-50.0,68.88,,
10028,18761,294157.67,5331135.26,310.68,182.31,-70.0,105.0,,
10029,18762,294741.54,5330943.68,318.7,2.31,-90.0,98.99,,
10030,18763,294741.54,5330943.68,318.7,2.31,-70.0,182.57,,
10031,18764,294741.54,5330943.68,318.7,2.31,-35.0,38.1,,
10032,18765,294714.25,5330947.86,318.33,2.31,-90.0,92.5,,
10033,18766,294714.1,5330944.82,318.33,2.31,-70.0,183.18,,
10034,18767,294714.13,5330944.82,318.33,2.31,-37.0,55.5,,
10035,18768,294659.51,5330946.72,319.55,182.31,-75.0,92.04,,
10036,18769,294659.51,5330946.72,319.55,2.31,-63.0,155.99,,
10038,18770,293997.4,5331151.84,312.63,2.31,-45.0,183.0,,
10039,18771,294605.05,5330948.86,319.04,182.31,-70.0,101.98,,
10040,18772,294605.05,5330948.86,319.04,2.31,-57.0,122.98,,
10041,18773,294550.27,5330945.83,319.64,182.31,-70.0,92.99,,
10042,18774,294550.27,5330945.83,319.64,2.31,-70.0,153.0,,
10043,18775,294550.27,5330945.83,319.64,2.31,-45.0,74.0,,
10044,18776,294494.57,5330953.64,318.88,182.31,-70.0,111.0,,
10045,18777,294494.57,5330953.64,318.88,2.31,-70.0,98.99,,
10046,18778,294052.1,5331171.65,310.71,2.31,-45.0,183.0,,
10047,18779,294440.27,5330948.09,318.27,182.31,-60.0,109.42,,
10049,18780,294440.27,5330948.09,318.27,2.31,-75.0,110.94,,
10050,18781,294440.27,5330948.09,318.27,2.31,-55.0,190.5,,
10051,18782,294440.27,5330948.09,318.27,2.31,-35.0,105.46,,
10052,18783,294714.13,5330944.82,318.33,2.31,-55.0,122.68,,
10053,18784,294687.11,5330947.95,318.58,182.31,-65.0,111.0,,
10054,18785,294687.11,5330947.95,318.58,2.31,-60.0,153.0,,
10055,18786,294687.11,5330947.95,318.58,2.31,-35.0,97.99,,
10056,18787,294632.42,5330947.33,319.46,2.31,-57.0,69.0,,
10057,18788,294577.6,5330945.09,319.19,182.31,-70.0,68.0,,
10058,18789,294577.6,5330945.09,319.19,2.31,-63.0,183.0,,
10060,18790,294577.6,5330945.09,319.19,362.31,-40.0,73.45,,
10061,18791,294073.58,5331134.72,310.78,2.31,-75.0,83.82,,
10062,18792,294062.99,5331130.7,310.81,182.31,-80.0,92.99,,
10063,18793,294039.77,5331147.23,310.44,182.31,-70.0,103.63,,
10064,18794,294039.77,5331147.23,310.44,182.31,-85.0,92.99,,
10065,18795,294012.77,5331129.86,312.97,182.31,-75.0,104.24,,
