,BHID,AT,AZ,DIP
11580,15275,283.46,185.76,57.0
11581,15275,289.56,185.69,56.0
11582,15275,295.65,185.62,55.0
11583,15275,301.75,185.55,55.0
11584,15275,307.84,185.48,55.0
11585,15275,313.94,185.42,55.0
11586,15275,323.08,185.91,56.0
11587,15275,329.18,185.52,56.0
11588,15275,335.28,185.73,55.0
11589,15275,341.37,185.94,54.0
11590,15275,347.47,186.15,53.0
11591,15275,356.61,186.47,51.0
11592,15275,362.71,186.68,52.0
11593,15275,371.85,187.0,51.0
11594,15275,377.95,187.21,51.0
11595,15275,381.0,188.01,53.5
11596,15275,384.04,187.28,50.0
11597,15275,390.14,187.23,50.0
11598,15275,396.24,187.18,50.0
11599,15275,402.33,187.12,50.0
11600,15275,408.43,187.07,50.0
11601,15275,414.52,187.02,50.0
11602,15275,420.62,186.96,49.0
11603,15275,426.72,186.91,50.0
11604,15275,432.81,186.86,50.0
11605,15275,438.91,186.8,49.0
11606,15275,445.0,186.75,49.0
11607,15275,451.1,186.69,49.0
11608,15275,457.2,186.64,48.0
11609,15275,463.29,186.59,48.0
11610,15275,469.39,186.53,48.0
11611,15275,475.48,186.48,48.0
11612,15275,481.58,186.43,47.0
11613,15275,487.68,186.37,47.0
11614,15275,493.77,186.32,47.0
11615,15275,494.53,186.31,48.0
11616,15276,0.0,182.28,59.0
11617,15276,12.19,181.48,60.0
11618,15276,15.24,181.52,60.0
11619,15276,21.33,181.6,60.0
11620,15276,24.38,181.65,60.0
11621,15276,30.48,181.73,60.0
11622,15276,36.57,181.81,60.0
11623,15276,42.67,181.9,60.0
11624,15276,51.81,182.02,60.0
11625,15276,60.96,182.15,60.0
11626,15276,67.05,182.23,59.0
11627,15276,73.15,182.91,61.5
11628,15276,76.2,182.4,60.0
11629,15276,82.29,182.58,59.0
11630,15276,88.39,182.77,59.0
11631,15276,94.48,182.95,59.0
11632,15276,100.58,183.13,58.0
11633,15276,106.68,183.31,59.0
11634,15276,112.77,183.49,58.0
11635,15276,121.92,183.77,58.0
11636,15276,128.01,183.95,58.0
11637,15276,134.11,184.13,57.0
11638,15276,140.2,184.31,58.0
11639,15276,146.3,184.49,57.0
11640,15276,152.4,184.68,57.0
11641,15276,158.49,184.86,57.0
11642,15276,164.59,185.04,56.0
11643,15276,170.68,185.22,57.0
11644,15276,176.78,185.4,56.0
11645,15276,182.88,185.58,56.0
11646,15276,188.97,185.77,55.0
11647,15276,195.07,185.95,54.0
11648,15276,204.21,186.22,54.0
11649,15276,210.31,186.4,54.0
11650,15276,216.4,186.58,53.0
11651,15276,222.5,186.77,53.0
11652,15276,228.6,186.95,53.0
11653,15276,234.69,187.13,53.0
11654,15276,240.79,187.31,53.0
11655,15276,246.88,187.22,53.0
11656,15276,252.98,187.13,52.0
11657,15276,259.08,187.04,54.0
11658,15276,265.17,186.94,54.0
11659,15276,271.27,186.85,54.0
11660,15276,277.36,186.76,53.0
11661,15276,283.46,186.67,54.0
11662,15276,289.56,186.58,54.0
11663,15276,295.65,186.48,53.0
11664,15276,301.75,186.39,53.0
11665,15276,307.84,186.3,53.0
11666,15276,313.94,186.21,53.0
11667,15276,320.04,186.12,53.0
11668,15276,326.13,186.02,52.0
11669,15276,332.23,185.93,52.0
11670,15276,338.32,185.84,52.0
11671,15276,344.42,185.75,52.0
11672,15276,373.38,185.91,49.0
11673,15276,423.67,183.11,47.0
11674,15277,0.0,183.34,59.0
11675,15277,21.33,184.58,55.0
11676,15277,27.43,184.95,55.0
11677,15277,33.52,185.31,55.0
11678,15277,42.67,185.86,54.0
11679,15277,48.76,186.22,54.0
11680,15277,54.86,186.58,54.0
11681,15277,57.91,186.77,54.0
11682,15277,64.0,187.13,54.0
11683,15277,70.1,187.49,54.0
11684,15277,76.2,187.86,54.0
11685,15277,82.29,188.22,53.0
11686,15277,88.39,188.58,53.0
11687,15277,94.48,188.95,53.0
11688,15277,100.58,189.31,53.4
11689,15277,103.63,189.27,53.0
11690,15277,109.72,189.19,53.0
11691,15277,176.78,188.32,50.0
11692,15277,179.83,188.28,51.0
11693,15277,185.92,188.2,50.0
11694,15277,192.02,188.12,49.0
11695,15277,198.12,188.04,49.0
11696,15277,204.21,187.96,48.0
11697,15277,210.31,187.88,48.0
11698,15277,216.4,187.8,47.0
11699,15277,228.6,187.64,45.0
11700,15277,234.69,187.56,44.0
11701,15277,240.79,187.48,45.0
11702,15277,246.88,187.4,45.0
11703,15277,252.98,187.32,45.0
11704,15277,253.89,187.31,46.0
11705,15277,259.08,187.02,44.0
11706,15277,265.17,186.67,44.0
11707,15277,271.27,186.32,44.0
11708,15277,274.32,186.14,43.0
11709,15277,280.41,185.8,43.0
11710,15277,286.51,185.45,44.0
11711,15277,292.6,185.1,43.0
11712,15277,298.7,184.75,43.0
11713,15277,304.8,184.4,44.0
11714,15277,310.89,184.05,43.0
11715,15277,316.99,183.71,42.0
11716,15277,323.08,183.36,43.0
11717,15277,329.18,183.01,39.0
11718,15277,338.32,182.49,39.0
11719,15277,341.37,183.01,40.7
11720,15277,347.47,182.31,39.0
11721,15277,353.56,182.31,39.0
11722,15277,362.71,182.31,39.0
11723,15277,368.8,182.31,38.0
11724,15277,374.9,182.31,39.0
11725,15277,381.0,182.31,38.0
11726,15277,387.09,182.31,38.0
11727,15277,393.19,182.31,38.0
11728,15277,399.28,182.31,38.0
11729,15277,405.38,182.31,37.0
11730,15277,411.48,182.31,37.0
11731,15277,417.57,182.31,37.0
11732,15277,423.67,183.01,37.0
13304,16,0.0,173.31,45.0
13305,16,30.48,173.31,48.0
13306,16,60.96,173.31,44.0
13370,16037,0.0,360.94,67.0
13371,16037,30.48,361.89,67.0
13372,16037,60.96,2.83,67.0
13373,16037,118.56,4.61,66.0
13374,16037,121.92,4.55,65.0
13375,16037,182.88,3.37,65.0
13376,16037,222.19,2.61,66.0
13377,16037,304.8,7.72,64.0
13378,16037,306.32,7.81,64.5
13379,16037,365.76,5.41,62.0
13380,16037,405.38,3.81,64.2
13381,16037,426.72,4.68,64.0
13382,16037,487.68,7.15,61.5
13383,16037,489.2,7.21,64.12
13384,16038,0.0,361.43,67.25
13385,16038,30.48,361.13,68.0
13386,16038,118.87,360.25,68.0
13387,16038,131.06,360.13,67.3
13388,16038,152.4,361.07,68.0
13389,16038,213.36,3.76,66.0
13390,16038,231.64,4.56,64.8
13391,16038,274.32,4.45,62.0
13392,16038,327.66,4.31,62.7
13393,16038,335.28,4.42,61.5
13394,16038,396.24,5.28,61.0
13395,16038,413.0,5.51,62.5
13396,16038,457.2,7.75,60.0
13397,16038,466.34,8.21,61.5
13398,16039,0.0,4.04,67.78
13399,16039,30.48,3.34,66.0
13400,16039,91.44,361.95,65.0
13401,16039,92.96,361.91,66.4
13402,16039,152.4,2.76,64.5
13403,16039,204.21,3.51,66.0
13404,16039,213.36,3.64,64.5
13405,16039,274.32,4.51,64.0
13406,16039,309.37,5.01,65.5
