,Unnamed: 0,BHID,FROM,TO,LITHO_DESC,lithoID,_id0
2905,47393,18014,47.48,48.34,Intermediate to Ultramafic Volcanics,5.0,2905
2906,47394,18014,48.34,60.06,Intermediate to Ultramafic Volcanics,5.0,2906
2907,47395,18014,60.06,73.22,Intermediate to Ultramafic Volcanics,5.0,2907
2908,47396,18014,73.22,92.65,Intermediate to Ultramafic Volcanics,5.0,2908
2909,47434,18018,0.0,25.87,Casing,1.0,2909
2910,47435,18018,25.87,28.4,Early Diorite,2.0,2910
2911,47436,18018,28.4,32.09,Intermediate to Ultramafic Volcanics,5.0,2911
2912,47437,18018,32.09,37.53,Felsic to Intermediate Dykes,3.0,2912
2913,47438,18018,37.53,63.96,Intermediate to Ultramafic Volcanics,5.0,2913
2914,47439,18018,63.96,68.68,Intermediate to Ultramafic Volcanics,5.0,2914
2915,47440,18018,68.68,75.01,Intermediate to Ultramafic Volcanics,5.0,2915
2916,47441,18018,75.01,78.71,Felsic to Intermediate Dykes,3.0,2916
2917,47442,18018,78.71,90.0,Intermediate to Ultramafic Volcanics,5.0,2917
2918,47443,18019,0.0,14.99,Casing,1.0,2918
2919,47444,18019,14.99,47.7,Intermediate to Ultramafic Volcanics,5.0,2919
2920,47451,18020,0.0,11.46,Casing,1.0,2920
2921,47452,18020,11.46,21.59,Intermediate to Ultramafic Volcanics,5.0,2921
2922,47453,18020,21.59,38.22,Felsic to Intermediate Dykes,3.0,2922
2923,47454,18020,38.22,42.36,Early Diorite,2.0,2923
2924,47455,18020,42.36,48.0,Early Diorite,2.0,2924
2925,47462,18024,0.0,8.99,Casing,1.0,2925
2926,47463,18024,8.99,22.03,Intermediate to Ultramafic Volcanics,5.0,2926
2927,47464,18024,22.03,25.35,Early Diorite,2.0,2927
2928,47465,18024,25.35,44.85,Felsic to Intermediate Dykes,3.0,2928
2929,47466,18024,44.85,50.29,Intermediate to Ultramafic Volcanics,5.0,2929
2930,47467,18025,0.0,9.23,Casing,1.0,2930
2931,47468,18025,9.23,15.11,Early Diorite,2.0,2931
2932,47469,18025,15.11,22.76,Intermediate to Ultramafic Volcanics,5.0,2932
2933,47470,18025,22.76,24.56,Early Diorite,2.0,2933
2934,47471,18025,24.56,30.69,Intermediate to Ultramafic Volcanics,5.0,2934
2935,47472,18025,30.69,37.09,Early Diorite,2.0,2935
2936,47473,18025,37.09,40.38,Shear Zone,4.0,2936
2937,47474,18025,40.38,42.48,Intermediate to Ultramafic Volcanics,5.0,2937
2938,47475,18026,0.0,10.42,Casing,1.0,2938
2939,47476,18026,10.42,14.02,Intermediate to Ultramafic Volcanics,5.0,2939
2940,47477,18026,14.02,16.7,Early Diorite,2.0,2940
2941,47478,18026,16.7,23.37,Felsic to Intermediate Dykes,3.0,2941
2942,47479,18026,23.37,30.46,Early Diorite,2.0,2942
2943,47480,18026,30.46,30.83,Felsic to Intermediate Dykes,3.0,2943
2944,47481,18026,30.83,54.34,Intermediate to Ultramafic Volcanics,5.0,2944
2945,47482,18026,54.34,55.41,Felsic to Intermediate Dykes,3.0,2945
2946,47483,18026,55.41,55.61,Intermediate to Ultramafic Volcanics,5.0,2946
2947,47484,18026,55.61,57.08,Diorite,2.0,2947
2948,47485,18026,57.08,61.21,Felsic to Intermediate Dykes,3.0,2948
2949,47486,18026,61.21,66.75,Intermediate to Ultramafic Volcanics,5.0,2949
2950,47487,18026,66.75,67.6,Intermediate to Ultramafic Volcanics,5.0,2950
2951,47488,18026,67.6,68.21,Felsic to Intermediate Dykes,3.0,2951
2952,47489,18026,68.21,73.09,Intermediate to Ultramafic Volcanics,5.0,2952
2953,47490,18026,73.09,74.08,Shear Zone,4.0,2953
2954,47491,18026,74.08,75.81,Felsic to Intermediate Dykes,3.0,2954
2955,47492,18026,75.81,76.27,Shear Zone,4.0,2955
2956,47493,18026,76.27,76.56,Intermediate to Ultramafic Volcanics,5.0,2956
2957,47494,18026,76.56,77.57,Intermediate to Ultramafic Volcanics,5.0,2957
2958,47495,18026,77.57,80.58,Intermediate to Ultramafic Volcanics,5.0,2958
2959,47496,18026,80.58,81.19,Shear Zone,4.0,2959
2960,47497,18026,81.19,90.0,Intermediate to Ultramafic Volcanics,5.0,2960
2961,47498,18027,0.0,14.88,Casing,1.0,2961
2962,47499,18027,14.88,15.78,Quartz-Tourmaline Veins,10.0,2962
2963,47500,18027,15.78,16.0,Intermediate to Ultramafic Volcanics,5.0,2963
2964,47501,18027,16.0,23.31,Intermediate to Ultramafic Volcanics,5.0,2964
2965,47502,18027,23.31,24.87,Early Diorite,2.0,2965
2966,47503,18027,24.87,31.45,Intermediate to Ultramafic Volcanics,5.0,2966
2967,47504,18027,31.45,33.31,Early Diorite,2.0,2967
2968,47505,18027,33.31,75.01,Intermediate to Ultramafic Volcanics,5.0,2968
2969,47506,18028,0.0,5.21,Casing,1.0,2969
2970,47507,18028,5.21,9.72,Early Diorite,2.0,2970
2971,47508,18028,9.72,14.54,Diorite,2.0,2971
2972,47509,18028,14.54,19.91,Early Diorite,2.0,2972
2973,47510,18028,19.91,20.83,Intermediate to Ultramafic Volcanics,5.0,2973
2974,47511,18028,20.83,21.06,Diorite,2.0,2974
2975,47512,18028,21.06,21.19,Intermediate to Ultramafic Volcanics,5.0,2975
2976,47513,18028,21.19,32.49,Early Diorite,2.0,2976
2977,47555,18033,0.0,4.17,Casing,1.0,2977
2978,47556,18033,4.17,7.98,Intermediate to Ultramafic Volcanics,5.0,2978
2979,47557,18033,7.98,18.19,Diorite,2.0,2979
2980,47558,18033,18.19,21.0,Intermediate to Ultramafic Volcanics,5.0,2980
2981,47559,18034,0.0,5.18,Casing,1.0,2981
2982,47560,18034,5.18,5.39,Early Diorite,2.0,2982
2983,47561,18034,5.39,10.1,Intermediate to Ultramafic Volcanics,5.0,2983
2984,47562,18034,10.1,11.67,Early Diorite,2.0,2984
2985,47563,18034,11.67,14.44,Early Diorite,2.0,2985
2986,47564,18034,14.44,16.12,Early Diorite,2.0,2986
2987,47565,18034,16.12,18.98,Early Diorite,2.0,2987
2988,47566,18035,0.0,3.53,Casing,1.0,2988
2989,47567,18035,3.53,5.66,Intermediate to Ultramafic Volcanics,5.0,2989
2990,47568,18035,5.66,17.26,Diorite,2.0,2990
2991,47569,18035,17.26,18.01,Intermediate to Ultramafic Volcanics,5.0,2991
2992,47570,18036,0.0,4.2,Casing,1.0,2992
2993,47571,18036,4.2,20.42,Early Diorite,2.0,2993
2994,47572,18037,0.0,5.63,Casing,1.0,2994
2995,47573,18037,5.63,15.84,Early Diorite,2.0,2995
2996,47574,18037,15.84,20.45,Shear Zone,4.0,2996
2997,47575,18037,20.45,21.0,Early Diorite,2.0,2997
2998,47576,18038,0.0,7.25,Casing,1.0,2998
2999,47577,18038,7.25,8.5,Early Diorite,2.0,2999
3000,47578,18038,8.5,17.58,Diorite,2.0,3000
3001,47579,18038,17.58,21.0,Early Diorite,2.0,3001
3002,47580,18039,0.0,6.17,Casing,1.0,3002
3003,47581,18039,6.17,6.84,Shear Zone,4.0,3003
3004,47582,18039,6.84,8.7,Shear Zone,4.0,3004
3005,47583,18039,8.7,12.78,Shear Zone,4.0,3005
3006,47584,18039,12.78,40.85,Intermediate to Ultramafic Volcanics,5.0,3006
3007,47585,18039,40.85,47.01,Early Diorite,2.0,3007
3008,47586,18039,47.01,73.62,Intermediate to Ultramafic Volcanics,5.0,3008
3009,47587,18039,73.62,77.96,Felsic to Intermediate Dykes,3.0,3009
3010,47590,18040,0.0,7.43,Casing,1.0,3010
3011,47591,18040,7.43,10.42,Early Diorite,2.0,3011
3012,47592,18040,10.42,12.25,Intermediate to Ultramafic Volcanics,5.0,3012
3013,47593,18040,12.25,27.73,Early Diorite,2.0,3013
3014,47594,18040,27.73,30.7,Intermediate to Ultramafic Volcanics,5.0,3014
3015,47595,18040,30.7,45.9,Early Diorite,2.0,3015
3016,47596,18040,45.9,52.39,Intermediate to Ultramafic Volcanics,5.0,3016
3017,47597,18040,52.39,53.72,Shear Zone,4.0,3017
3018,47598,18040,53.72,63.48,Intermediate to Ultramafic Volcanics,5.0,3018
3019,47628,18049,0.0,8.18,Casing,1.0,3019
3020,47629,18049,8.18,10.37,Early Diorite,2.0,3020
3021,47630,18049,10.37,22.28,Intermediate to Ultramafic Volcanics,5.0,3021
3022,47631,18049,22.28,23.69,Early Diorite,2.0,3022
3023,47632,18049,23.69,40.11,Intermediate to Ultramafic Volcanics,5.0,3023
3024,47633,18049,40.11,43.98,Felsic to Intermediate Dykes,3.0,3024
3025,47634,18049,43.98,44.98,Intermediate to Ultramafic Volcanics,5.0,3025
3026,47638,18050,0.0,21.97,Casing,1.0,3026
3027,47639,18050,21.97,32.85,Intermediate to Ultramafic Volcanics,5.0,3027
3028,47640,18050,32.85,52.6,Felsic to Intermediate Dykes,3.0,3028
3029,47641,18050,52.6,58.01,Intermediate to Ultramafic Volcanics,5.0,3029
3030,47642,18050,58.01,61.69,Shear Zone,4.0,3030
3031,47643,18051,0.0,8.86,Casing,1.0,3031
3032,47644,18051,8.86,22.03,Intermediate to Ultramafic Volcanics,5.0,3032
3033,47645,18051,22.03,25.98,Diorite,2.0,3033
3034,47646,18051,25.98,29.55,Intermediate to Ultramafic Volcanics,5.0,3034
3035,47647,18051,29.55,29.82,Early Diorite,2.0,3035
3036,47648,18051,29.82,30.26,Intermediate to Ultramafic Volcanics,5.0,3036
3037,47649,18051,30.26,30.61,Early Diorite,2.0,3037
3038,47650,18051,30.61,31.05,Intermediate to Ultramafic Volcanics,5.0,3038
3039,47651,18051,31.05,31.6,Early Diorite,2.0,3039
3040,47652,18051,31.6,32.56,Intermediate to Ultramafic Volcanics,5.0,3040
3041,47653,18051,32.56,36.02,Early Diorite,2.0,3041
3042,47654,18051,36.02,36.94,Intermediate to Ultramafic Volcanics,5.0,3042
3043,47655,18051,36.94,39.19,Felsic to Intermediate Dykes,3.0,3043
3044,47656,18051,39.19,39.86,Shear Zone,4.0,3044
3045,47657,18051,39.86,40.69,Early Diorite,2.0,3045
3046,47658,18051,40.69,41.26,Intermediate to Ultramafic Volcanics,5.0,3046
3047,47659,18051,41.26,41.89,Early Diorite,2.0,3047
3048,47660,18051,41.89,42.9,Intermediate to Ultramafic Volcanics,5.0,3048
3049,47661,18051,42.9,44.5,Early Diorite,2.0,3049
3050,47662,18051,44.5,45.26,Intermediate to Ultramafic Volcanics,5.0,3050
3051,47663,18051,45.26,49.34,Intermediate to Ultramafic Volcanics,5.0,3051
3052,47664,18051,49.34,52.66,Intermediate to Ultramafic Volcanics,5.0,3052
