,AT,AZ,BHID,DIP,Unnamed: 0
610,0.0,2.31,16353,72.0,14318.0
611,30.48,2.31,16353,72.0,14319.0
612,0.0,182.31,16354,73.0,14320.0
613,30.48,182.31,16354,74.0,14321.0
614,59.74,182.31,16354,73.0,14322.0
615,0.0,182.31,16355,80.0,14323.0
616,31.08,182.31,16355,80.0,14324.0
617,0.0,182.31,16356,84.0,14325.0
618,30.48,182.31,16356,86.0,14326.0
619,59.74,182.31,16356,85.0,14327.0
620,0.0,182.31,16357,45.0,14328.0
621,30.48,182.31,16357,44.0,14329.0
622,53.34,182.31,16357,43.0,14330.0
623,0.0,2.31,16358,84.0,14331.0
624,31.69,2.31,16358,84.0,14332.0
625,52.73,2.31,16358,84.0,14333.0
626,0.0,2.31,16359,56.0,14334.0
627,30.48,2.31,16359,56.0,14335.0
